"","target","Item Difficulty","Discrimination","Standard Error","Information-Weighted Mean Square","Information-Weighted Z","Outlier-Sensitive Mean Square","Outlier-Sensitive Z","Log10 Contextual Diversity","Age of Acquisition","Number of Phonemes","slide_num"
"127","ring",-1.286,1.258,0.152,0.88,-1.08,0.92,-0.22,3.317,4.53,3,45
"128","rope",-0.964,1.258,0.143,0.89,-1.14,0.74,-1.23,2.816,5.44,3,111
"129","ruler",0.483,1.258,0.127,1.04,0.54,0.95,-0.15,2.143,5.94,5,100
"130","saddle",0.311,1.258,0.127,0.81,-2.84,0.67,-1.71,2.425,6.42,5,125
"131","sailor",0.157,1.258,0.127,0.99,-0.18,0.92,-0.34,2.453,6.44,5,69
"132","sandwich",-0.283,1.258,0.131,1.04,0.53,0.99,0.01,2.874,4.79,7,95
"133","saw",-0.722,1.258,0.138,0.94,-0.62,0.91,-0.39,3.808,5.35,2,181
"134","scale",0.137,1.258,0.127,1,0.09,1.11,0.62,2.593,8.85,4,87
"135","scarf",-0.12,1.258,0.129,0.92,-1.01,0.87,-0.68,2.22,5.68,5,79
"136","scissors",-0.865,1.258,0.141,0.94,-0.56,0.8,-0.98,2.318,4.5,6,19
"137","seal",-0.02,1.258,0.128,0.96,-0.48,0.87,-0.65,2.675,5.42,3,154
"138","shoe",-1.494,1.258,0.159,1.18,1.44,1.18,0.69,2.951,2.6,2,94
"139","skis",-0.41,1.258,0.132,0.86,-1.67,0.7,-1.78,2.348,6.68,3,176
"140","skull",0.579,1.258,0.128,1.16,2.24,1.13,0.63,2.702,6.33,4,60
"141","slippers",0.637,1.258,0.128,0.99,-0.11,0.95,-0.12,1.716,5.26,6,137
"142","snail",0.273,1.258,0.127,0.9,-1.41,0.76,-1.2,1.74,5.79,4,127
"143","snake",-1.016,1.258,0.145,1,-0.01,0.93,-0.24,2.722,5.1,4,66
"144","sock",-0.965,1.258,0.143,0.98,-0.12,0.91,-0.34,2.481,2.94,3,131
"145","spider",-0.242,1.258,0.13,0.86,-1.87,0.73,-1.61,2.365,3.43,6,96
"146","spoon",-0.889,1.258,0.141,0.85,-1.6,0.67,-1.72,2.433,2.5,4,162
"147","squirrel",-0.16,1.258,0.129,0.93,-0.85,1.04,0.26,2.22,4.44,7,73
"148","star",-0.89,1.258,0.141,0.93,-0.72,0.73,-1.37,3.261,3.89,4,159
"149","stethoscope",1.88,1.258,0.157,0.79,-2.2,1.18,0.59,1.633,8.5,9,172
"150","strawberries",-0.02,1.258,0.128,0.95,-0.71,0.95,-0.23,2.223,4.21,8,25
"151","suit",-0.263,1.258,0.13,0.98,-0.19,1.17,0.95,3.288,6.67,3,167
"152","sun",-1.068,1.258,0.146,1.18,1.65,1.23,1.01,3.292,3.4,3,139
"153","table",-0.865,1.258,0.141,0.88,-1.24,0.71,-1.47,3.461,4.39,5,38
"154","tent",-0.699,1.258,0.137,0.87,-1.5,0.72,-1.56,2.649,5.16,4,88
"155","thermometer",0.637,1.258,0.128,0.9,-1.53,0.74,-1.12,1.898,6.63,10,22
"156","toilet",-0.119,1.258,0.129,1.18,2.2,1.36,1.82,2.98,3.54,5,98
"157","top",0.059,1.258,0.128,1,0.01,1.1,0.58,3.557,3.89,3,164
"158","towel",-0.496,1.258,0.134,0.9,-1.23,0.72,-1.61,2.721,3.22,4,31
"159","tractor",0.368,1.258,0.127,0.96,-0.55,1.13,0.67,2.029,5.5,7,101
"160","train",-1.042,1.258,0.145,1.35,3.04,1.66,2.53,3.246,4,4,104
"161","tree",-1.587,1.258,0.162,0.84,-1.34,0.52,-1.78,3.21,3.57,3,17
"162","turkey",-0.817,1.258,0.14,1.01,0.09,1,0.04,2.758,3.95,5,50
"163","typewriter",-0.06,1.258,0.128,0.8,-2.77,0.64,-2.15,1.968,6.74,8,110
"164","van",0.579,1.258,0.128,1.07,1.06,0.92,-0.28,2.962,5.19,3,76
